timestamp_utc,fecha_iso,fecha_humana,titulo,pais,importancia,categoria,actual,esperado,previo,unidad,moneda,es_futuro,sorpresa,timestamp_captura,anio_mes
1777644000,2026-05-01T14:00:00Z,2026-05-01 14:00:00 UTC,ISM Manufacturing PMI,US,1,bsnss,52.7,53.0,52.7,,USD,False,-0.2999999999999971,1777671902,2026-05
1777955400,2026-05-05T04:30:00Z,2026-05-05 04:30:00 UTC,RBA Interest Rate Decision,AU,1,mny,4.35,4.35,4.1,%,AUD,False,0.0,1778040902,2026-05
1777989600,2026-05-05T14:00:00Z,2026-05-05 14:00:00 UTC,ISM Services PMI,US,1,bsnss,53.6,53.7,54.0,,USD,False,-0.1000000000000014,1778075102,2026-05
1777989600,2026-05-05T14:00:00Z,2026-05-05 14:00:00 UTC,JOLTs Job Openings,US,1,lbr,6.866,6.84,6.922,,USD,False,0.0259999999999998,1778075102,2026-05
1778076000,2026-05-06T14:00:00Z,2026-05-06 14:00:00 UTC,Ivey PMI s.a,CA,1,bsnss,57.7,49.9,49.7,,CAD,False,7.800000000000004,1778161502,2026-05
1778112000,2026-05-07T00:00:00Z,2026-05-07 00:00:00 UTC,Local Elections,GB,1,gov,,,,,GBP,True,,1778197502,2026-05
1778117400,2026-05-07T01:30:00Z,2026-05-07 01:30:00 UTC,Balance of Trade,AU,1,trd,-1.841,4.25,5.026,A$,AUD,False,-6.091,1778202902,2026-05
1778220000,2026-05-08T06:00:00Z,2026-05-08 06:00:00 UTC,Balance of Trade,DE,1,trd,14.3,18.4,19.6,€,EUR,False,-4.099999999999998,1778276702,2026-05
1778243400,2026-05-08T12:30:00Z,2026-05-08 12:30:00 UTC,Non Farm Payrolls,US,1,lbr,115.0,62.0,185.0,,USD,False,53.0,1778276702,2026-05
1778243400,2026-05-08T12:30:00Z,2026-05-08 12:30:00 UTC,Unemployment Rate,US,1,lbr,4.3,4.3,4.3,%,USD,False,0.0,1778276702,2026-05
1778243400,2026-05-08T12:30:00Z,2026-05-08 12:30:00 UTC,Unemployment Rate,CA,1,lbr,6.9,6.7,6.7,%,CAD,False,0.2000000000000001,1778276702,2026-05
1778248800,2026-05-08T14:00:00Z,2026-05-08 14:00:00 UTC,Michigan Consumer Sentiment Prel,US,1,cnsm,48.2,49.5,49.8,,USD,False,-1.2999999999999972,1778276702,2026-05
