timestamp_utc,fecha_iso,fecha_humana,titulo,pais,importancia,categoria,actual,esperado,previo,unidad,moneda,es_futuro,sorpresa,timestamp_captura,anio_mes
1776319200,2026-04-16T06:00:00Z,2026-04-16 06:00:00 UTC,GDP MoM,GB,1,gdp,0.5,0.1,0.1,%,GBP,False,0.4,1776404702,2026-04
1776688200,2026-04-20T12:30:00Z,2026-04-20 12:30:00 UTC,Inflation Rate YoY,CA,1,prce,2.4,2.5,1.8,%,CAD,False,-0.1,1776773702,2026-04
1776751200,2026-04-21T06:00:00Z,2026-04-21 06:00:00 UTC,Unemployment Rate,GB,1,lbr,4.9,5.2,5.2,%,GBP,False,-0.2999999999999998,1776836702,2026-04
1776762000,2026-04-21T09:00:00Z,2026-04-21 09:00:00 UTC,ZEW Economic Sentiment Index,DE,1,bsnss,-17.2,-5.0,-0.5,,EUR,False,-12.2,1776847502,2026-04
1776774600,2026-04-21T12:30:00Z,2026-04-21 12:30:00 UTC,Retail Sales MoM,US,1,cnsm,1.7,1.4,0.7,%,USD,False,0.3,1776856502,2026-04
1776815400,2026-04-21T23:50:00Z,2026-04-21 23:50:00 UTC,Balance of Trade,JP,1,trd,667.0,1106.0,44.3,¥,JPY,False,-439.0,1776901502,2026-04
1776837600,2026-04-22T06:00:00Z,2026-04-22 06:00:00 UTC,Inflation Rate YoY,GB,1,prce,3.3,3.3,3.0,%,GBP,False,0.0,1776923102,2026-04
1776929400,2026-04-23T07:30:00Z,2026-04-23 07:30:00 UTC,S&P Global Manufacturing PMI Flash,DE,1,,51.2,51.3,52.2,,EUR,False,-0.0999999999999943,1777014902,2026-04
1776933000,2026-04-23T08:30:00Z,2026-04-23 08:30:00 UTC,S&P Global Manufacturing PMI Flash,GB,1,,53.6,49.9,51.0,,GBP,False,3.700000000000003,1777018502,2026-04
1776933000,2026-04-23T08:30:00Z,2026-04-23 08:30:00 UTC,S&P Global Services PMI Flash,GB,1,,52.0,50.0,50.5,,GBP,False,2.0,1777018502,2026-04
1776987000,2026-04-23T23:30:00Z,2026-04-23 23:30:00 UTC,Inflation Rate YoY,JP,1,prce,1.5,,1.3,%,JPY,False,,1777067102,2026-04
1777010400,2026-04-24T06:00:00Z,2026-04-24 06:00:00 UTC,Retail Sales MoM,GB,1,cnsm,0.7,0.2,-0.6,%,GBP,False,0.4999999999999999,1777067102,2026-04
1777017600,2026-04-24T08:00:00Z,2026-04-24 08:00:00 UTC,Ifo Business Climate,DE,1,bsnss,84.4,85.5,86.3,,EUR,False,-1.0999999999999943,1777067102,2026-04
1777269600,2026-04-27T06:00:00Z,2026-04-27 06:00:00 UTC,GfK Consumer Confidence,DE,1,cnsm,-33.3,-29.5,-28.1,,EUR,False,-3.799999999999997,1777355103,2026-04
1777345200,2026-04-28T03:00:00Z,2026-04-28 03:00:00 UTC,BoJ Interest Rate Decision,JP,1,mny,0.75,0.75,0.75,%,JPY,False,0.0,1777430702,2026-04
1777464000,2026-04-29T12:00:00Z,2026-04-29 12:00:00 UTC,Inflation Rate YoY Prel,DE,1,prce,2.9,3.0,2.7,%,EUR,False,-0.1,1777549502,2026-04
1777465800,2026-04-29T12:30:00Z,2026-04-29 12:30:00 UTC,Durable Goods Orders MoM,US,1,bsnss,0.8,0.5,-1.2,%,USD,False,0.3,1777551302,2026-04
1777465800,2026-04-29T12:30:00Z,2026-04-29 12:30:00 UTC,Building Permits Prel,US,1,hse,1.372,1.39,1.538,,USD,False,-0.0179999999999997,1777551302,2026-04
1777465800,2026-04-29T12:30:00Z,2026-04-29 12:30:00 UTC,Housing Starts,US,1,hse,1.502,1.4,1.356,,USD,False,0.102,1777551302,2026-04
1777470300,2026-04-29T13:45:00Z,2026-04-29 13:45:00 UTC,BoC Interest Rate Decision,CA,1,mny,2.25,2.25,2.25,%,CAD,False,0.0,1777555802,2026-04
1777470300,2026-04-29T13:45:00Z,2026-04-29 13:45:00 UTC,BoC Monetary Policy Report,CA,1,mny,,,,,CAD,True,,1777555802,2026-04
1777485600,2026-04-29T18:00:00Z,2026-04-29 18:00:00 UTC,Fed Interest Rate Decision,US,1,mny,3.75,3.75,3.75,%,USD,False,0.0,1777571102,2026-04
1777487400,2026-04-29T18:30:00Z,2026-04-29 18:30:00 UTC,Fed Press Conference,US,1,mny,,,,,USD,True,,1777572902,2026-04
1777512600,2026-04-30T01:30:00Z,2026-04-30 01:30:00 UTC,NBS Manufacturing PMI,CN,1,bsnss,50.3,50.1,50.4,,CNY,False,0.1999999999999957,1777598102,2026-04
1777513500,2026-04-30T01:45:00Z,2026-04-30 01:45:00 UTC,RatingDog Manufacturing PMI,CN,1,,52.2,51.0,50.8,,CNY,False,1.2000000000000028,1777599002,2026-04
1777525200,2026-04-30T05:00:00Z,2026-04-30 05:00:00 UTC,Consumer Confidence,JP,1,cnsm,32.2,33.1,33.3,,JPY,False,-0.8999999999999986,1777610702,2026-04
1777527000,2026-04-30T05:30:00Z,2026-04-30 05:30:00 UTC,GDP Growth Rate YoY Prel,FR,1,gdp,1.1,,1.3,%,EUR,False,,1777612502,2026-04
1777527000,2026-04-30T05:30:00Z,2026-04-30 05:30:00 UTC,GDP Growth Rate QoQ Prel,FR,1,gdp,0.0,0.2,0.2,%,EUR,False,-0.2,1777612502,2026-04
1777531500,2026-04-30T06:45:00Z,2026-04-30 06:45:00 UTC,Inflation Rate YoY Prel,FR,1,prce,2.2,2.0,1.7,%,EUR,False,0.2000000000000001,1777617002,2026-04
1777532400,2026-04-30T07:00:00Z,2026-04-30 07:00:00 UTC,GDP Growth Rate QoQ Flash,ES,1,gdp,0.6,0.5,0.8,%,EUR,False,0.0999999999999999,1777617902,2026-04
1777532400,2026-04-30T07:00:00Z,2026-04-30 07:00:00 UTC,GDP Growth Rate YoY Flash,ES,1,gdp,2.7,2.7,2.6,%,EUR,False,0.0,1777617902,2026-04
1777536000,2026-04-30T08:00:00Z,2026-04-30 08:00:00 UTC,GDP Growth Rate YoY Flash,DE,1,gdp,0.3,0.3,0.4,%,EUR,False,0.0,1777621502,2026-04
1777536000,2026-04-30T08:00:00Z,2026-04-30 08:00:00 UTC,GDP Growth Rate QoQ Flash,DE,1,gdp,0.3,0.2,0.2,%,EUR,False,0.0999999999999999,1777621502,2026-04
1777536000,2026-04-30T08:00:00Z,2026-04-30 08:00:00 UTC,GDP Growth Rate YoY Adv,IT,1,gdp,0.8,0.6,0.8,%,EUR,False,0.2,1777621502,2026-04
1777536000,2026-04-30T08:00:00Z,2026-04-30 08:00:00 UTC,GDP Growth Rate QoQ Adv,IT,1,gdp,0.2,0.1,0.3,%,EUR,False,0.1,1777621502,2026-04
1777539600,2026-04-30T09:00:00Z,2026-04-30 09:00:00 UTC,Inflation Rate YoY Prel,IT,1,prce,2.8,2.6,1.7,%,EUR,False,0.1999999999999997,1777625102,2026-04
1777546800,2026-04-30T11:00:00Z,2026-04-30 11:00:00 UTC,BoE Interest Rate Decision,GB,1,mny,3.75,3.75,3.75,%,GBP,False,0.0,1777632302,2026-04
1777552200,2026-04-30T12:30:00Z,2026-04-30 12:30:00 UTC,Core PCE Price Index MoM,US,1,prce,0.3,0.3,0.4,%,USD,False,0.0,1777637702,2026-04
1777552200,2026-04-30T12:30:00Z,2026-04-30 12:30:00 UTC,Personal Spending MoM,US,1,cnsm,0.9,0.9,0.6,%,USD,False,0.0,1777637702,2026-04
1777552200,2026-04-30T12:30:00Z,2026-04-30 12:30:00 UTC,Personal Income MoM,US,1,cnsm,0.6,0.3,0.0,%,USD,False,0.3,1777637702,2026-04
1777552200,2026-04-30T12:30:00Z,2026-04-30 12:30:00 UTC,GDP Growth Rate QoQ Adv,US,1,gdp,2.0,2.3,0.5,%,USD,False,-0.2999999999999998,1777637702,2026-04
