symbol,exchange,ticker,company_name,security_type,sector,currency,price,pricescale,market_cap,market_cap_trillions,daily_change_pct,daily_change_abs,perf_1m,perf_3m,perf_6m,perf_y,perf_ytd,volatility_d,price_52w_high,price_52w_low,avg_volume_30d,avg_volume_10d,volume,shares_outstanding,shares_outstanding_fund,employees,eps_ttm,revenue_per_employee,gross_profit_1y_growth,logoid,update_mode,market_direction
NASDAQ:YORW,NASDAQ,YORW,,common,Utilities,USD,33.515,100,543900852.5322053,0.0005,-0.5194419709112412,-0.17499999999999716,4.668956901936282,11.45660126371799,6.261889663918838,9.16938110749186,5.4262346649889945,1.026622793897706,34.81,28.26,111875.66666666667,96702.3,38281,16228600,16228600,129,1.6013,,,the-york-water-company,delayed_streaming_900,sell
NASDAQ:CTRN,NASDAQ,CTRN,,common,Retail Trade,USD,65.15,100,542689545.9537835,0.0005,-1.6009666213562728,-1.059999999999988,-11.744784611216456,33.94325657894738,36.754827875734684,85.19044911881753,56.53531955790488,3.481550100355118,77.91,29.6,146095,132901,25059,8329850,8329850,2500,0.8977,,,citi-trends,delayed_streaming_900,sell
NASDAQ:EIKN,NASDAQ,EIKN,,common,Health Technology,USD,10.01,100,542191941.0643057,0.0005,-6.71015843429637,-0.7200000000000006,2.4564994882292757,16.125290023201863,-18.750000000000004,-41.29032258064517,-41.29032258064517,7.785032646911103,17.4,7.9,449292.23333333334,368277.3,163556,54165030,54165030,,,,,eikon-therapeutics,delayed_streaming_900,sell
NASDAQ:PANL,NASDAQ,PANL,,common,Transportation,USD,8.27,100,541468091.8493975,0.0005,-0.3614457831325438,-0.030000000000001137,21.43906020558003,11.605937921727387,17.471590909090903,50.36363636363635,20.20348837209302,1.696969696969704,9.3901,4.54,387857.5333333333,360546.1,103136,65473800,65473800,1070,0.7442,,,pangaea-logistics-solutions-ltd,delayed_streaming_900,sell
NASDAQ:AUTL,NASDAQ,AUTL,,,Health Technology,USD,2.01,100,540296238,0.0005,-0.9852216748768483,-0.020000000000000018,-1.4705882352941297,28.02547770700635,36.73469387755101,45.65217391304347,-1.4705882352941297,3.3447029476149197,2.58,1.175,2908742.6666666665,1625084.4,570948,266162539.99999997,266162539.99999997,752,-1.0501,,,autolus-therapeutics-plc,delayed_streaming_900,sell
NYSE:VGM,NYSE,VGM,,closedend,Miscellaneous,USD,9.8524,100,539608400,0.0005,-0.9809045226130644,-0.09759999999999991,-5.174205967276238,-2.8362919132150015,-4.991321118611378,-0.4808080808080906,-5.356388088376568,1.1692933401118295,10.66,9.5699,125183.9,127357.1,99239,54232000,54232000,,0.314,,,invesco,delayed_streaming_900,sell
NASDAQ:HBCP,NASDAQ,HBCP,,common,Finance,USD,68.535,100,539421828.8399215,0.0005,-0.39965121348642013,-0.2750000000000057,-3.1854781748834715,1.2932308601832694,15.456536388140158,21.53750665011526,18.14342354766419,0.9238891333039969,74.5,50.54,78560.26666666666,56581.8,11884,7870750,7870750,486,6.0418,,,home-bancorp,delayed_streaming_900,sell
OTC:DRUNF,OTC,DRUNF,,common,Finance,USD,12.859,100,539348308.289008,0.0005,0.6969459671104182,0.08900000000000041,-6.4799999999999995,-10.51496172581767,-10.265177948360085,-11.759054664232872,-9.123674911660778,0.8560311284046787,16.5,12.35,4197.7,2503.9,950,40385900,40385900,273,0.15100799999999998,,,dream-unlimited,delayed_streaming_900,buy
NYSE:GTN.A,NYSE,GTN.A,,common,Consumer Services,USD,5.97,100,539287307.0108696,0.0005,1.3582342954159605,0.08000000000000007,-11.555555555555559,-24.525916561314794,-41.12426035502959,-44.72222222222223,-48.62306368330465,4.355108877721954,15.33,5.5,2752.5,4923.6,908,9869310,9869310,9582,-0.6001,,,gray-television,delayed_streaming_900,buy
OTC:AMXEF,OTC,AMXEF,,common,Non-Energy Minerals,USD,3.355,100,538884530.6600877,0.0005,1.298309178743966,0.04300000000000015,5.172413793103449,7.188498402555913,10.072178477690287,75.1043841336117,12.962962962962955,2.614678899082573,3.996,1.74,24118.466666666667,24880.3,7965,160621000,160621000,,-0.040761599999999995,,,,delayed_streaming_900,buy
