timestamp_utc,fecha_iso,fecha_humana,titulo,pais,importancia,categoria,actual,esperado,previo,unidad,moneda,es_futuro,sorpresa,timestamp_captura,anio_mes
1773664200,2026-03-16T12:30:00Z,2026-03-16 12:30:00 UTC,Inflation Rate YoY,CA,1,prce,1.8,1.9,2.3,%,CAD,False,-0.0999999999999998,1773726112,2026-03
1773718200,2026-03-17T03:30:00Z,2026-03-17 03:30:00 UTC,RBA Interest Rate Decision,AU,1,mny,4.1,4.1,3.85,%,AUD,False,0.0,1773803701,2026-03
1773741600,2026-03-17T10:00:00Z,2026-03-17 10:00:00 UTC,ZEW Economic Sentiment Index,DE,1,bsnss,-0.5,39.0,58.3,,EUR,False,-39.5,1773827102,2026-03
1773791400,2026-03-17T23:50:00Z,2026-03-17 23:50:00 UTC,Balance of Trade,JP,1,trd,57.3,-483.2,-1163.5,¥,JPY,False,540.5,1773877502,2026-03
1773837000,2026-03-18T12:30:00Z,2026-03-18 12:30:00 UTC,PPI MoM,US,1,prce,0.7,0.3,0.5,%,USD,False,0.3999999999999999,1773922502,2026-03
1773841500,2026-03-18T13:45:00Z,2026-03-18 13:45:00 UTC,BoC Interest Rate Decision,CA,1,mny,2.25,2.25,2.25,%,CAD,False,0.0,1773927002,2026-03
1773856800,2026-03-18T18:00:00Z,2026-03-18 18:00:00 UTC,Fed Interest Rate Decision,US,1,mny,3.75,3.75,3.75,%,USD,False,0.0,1773942302,2026-03
1773856800,2026-03-18T18:00:00Z,2026-03-18 18:00:00 UTC,FOMC Economic Projections,US,1,mny,,,,,USD,True,,1773942302,2026-03
1773858600,2026-03-18T18:30:00Z,2026-03-18 18:30:00 UTC,Fed Press Conference,US,1,mny,,,,,USD,True,,1773944102,2026-03
1773889200,2026-03-19T03:00:00Z,2026-03-19 03:00:00 UTC,BoJ Interest Rate Decision,JP,1,mny,0.75,0.75,0.75,%,JPY,False,0.0,1773974702,2026-03
1773903600,2026-03-19T07:00:00Z,2026-03-19 07:00:00 UTC,Unemployment Rate,GB,1,lbr,5.2,5.3,5.2,%,GBP,False,-0.0999999999999996,1773989101,2026-03
1773921600,2026-03-19T12:00:00Z,2026-03-19 12:00:00 UTC,BoE Interest Rate Decision,GB,1,mny,3.75,3.75,3.75,%,GBP,False,0.0,1774007102,2026-03
1774308600,2026-03-23T23:30:00Z,2026-03-23 23:30:00 UTC,Inflation Rate YoY,JP,1,prce,1.3,,1.5,%,JPY,False,,1774394102,2026-03
1774341000,2026-03-24T08:30:00Z,2026-03-24 08:30:00 UTC,HCOB Manufacturing PMI Flash,DE,1,,51.7,49.5,50.9,,EUR,False,2.200000000000003,1774342802,2026-03
1774341000,2026-03-24T08:30:00Z,2026-03-24 08:30:00 UTC,S&P Global Manufacturing PMI Flash,DE,1,,51.7,49.5,50.9,,EUR,False,2.200000000000003,1774426502,2026-03
1774344600,2026-03-24T09:30:00Z,2026-03-24 09:30:00 UTC,S&P Global Manufacturing PMI Flash,GB,1,,51.4,50.1,51.7,,GBP,False,1.2999999999999972,1774430102,2026-03
1774344600,2026-03-24T09:30:00Z,2026-03-24 09:30:00 UTC,S&P Global Services PMI Flash,GB,1,,51.2,53.0,53.9,,GBP,False,-1.7999999999999972,1774430102,2026-03
1774422000,2026-03-25T07:00:00Z,2026-03-25 07:00:00 UTC,Inflation Rate YoY,GB,1,prce,3.0,3.0,3.0,%,GBP,False,0.0,1774507502,2026-03
1774429200,2026-03-25T09:00:00Z,2026-03-25 09:00:00 UTC,Ifo Business Climate,DE,1,bsnss,86.4,86.1,88.4,,EUR,False,0.3000000000000113,1774514702,2026-03
1774508400,2026-03-26T07:00:00Z,2026-03-26 07:00:00 UTC,GfK Consumer Confidence,DE,1,cnsm,-28.0,-26.5,-24.8,,EUR,False,-1.5,1774593902,2026-03
1774594800,2026-03-27T07:00:00Z,2026-03-27 07:00:00 UTC,Retail Sales MoM,GB,1,cnsm,-0.4,-0.7,2.0,%,GBP,False,0.2999999999999999,1774647902,2026-03
1774872000,2026-03-30T12:00:00Z,2026-03-30 12:00:00 UTC,Inflation Rate YoY Prel,DE,1,prce,2.7,2.7,1.9,%,EUR,False,0.0,1774957502,2026-03
1774917000,2026-03-31T00:30:00Z,2026-03-31 00:30:00 UTC,RBA Meeting Minutes,AU,1,mny,,,,,AUD,True,,1775002502,2026-03
1774920600,2026-03-31T01:30:00Z,2026-03-31 01:30:00 UTC,NBS Manufacturing PMI,CN,1,bsnss,50.4,50.1,49.0,,CNY,False,0.2999999999999971,1775006102,2026-03
1774939500,2026-03-31T06:45:00Z,2026-03-31 06:45:00 UTC,Inflation Rate YoY Prel,FR,1,prce,1.7,1.6,0.9,%,EUR,False,0.0999999999999998,1775025002,2026-03
1774947600,2026-03-31T09:00:00Z,2026-03-31 09:00:00 UTC,Inflation Rate YoY Prel,IT,1,prce,1.7,1.8,1.5,%,EUR,False,-0.1,1775033101,2026-03
1774965600,2026-03-31T14:00:00Z,2026-03-31 14:00:00 UTC,JOLTs Job Openings,US,1,lbr,6.882,6.92,7.24,,USD,False,-0.0380000000000002,1775051102,2026-03
1775001000,2026-03-31T23:50:00Z,2026-03-31 23:50:00 UTC,Tankan Large Manufacturers Index,JP,1,bsnss,17.0,16.0,16.0,,JPY,False,1.0,1775087102,2026-03
