"asset_id","symbol","ticker","exchange","asset_class","sector","sector_es","company_name","logo_id","is_active","valid_from","valid_to","current_version","created_at","updated_at"
1422,OTC:LLOBF,LLOBF,OTC,preferred,Finance,,LLOBF,,true,2026-09-10 12:35:35.678 -0500,infinity,true,2026-09-10 12:35:35.678 -0500,2026-09-10 16:15:24.536 -0500
432,NASDAQ:LITE,LITE,NASDAQ,common,Producer Manufacturing,,LITE,,true,2026-09-10 12:13:39.410 -0500,infinity,true,2026-09-10 12:13:39.410 -0500,2026-09-10 16:15:24.554 -0500
450,OTC:ESLOY,ESLOY,OTC,"",Health Technology,,ESLOY,,true,2026-09-10 12:13:39.423 -0500,infinity,true,2026-09-10 12:13:39.423 -0500,2026-09-10 16:15:24.570 -0500
482,NYSE:ITW,ITW,NYSE,common,Producer Manufacturing,,ITW,,true,2026-09-10 12:13:39.451 -0500,infinity,true,2026-09-10 12:13:39.451 -0500,2026-09-10 16:15:24.633 -0500
515,OTC:SHECF,SHECF,OTC,common,Process Industries,,SHECF,,true,2026-09-10 12:13:39.478 -0500,infinity,true,2026-09-10 12:13:39.478 -0500,2026-09-10 16:15:24.673 -0500
565,OTC:PCRHY,PCRHY,OTC,"",Consumer Durables,,PCRHY,,true,2026-09-10 12:13:39.519 -0500,infinity,true,2026-09-10 12:13:39.519 -0500,2026-09-10 16:15:24.730 -0500
500,NYSE:NU,NU,NYSE,common,Finance,,NU,,true,2026-09-10 12:13:39.466 -0500,infinity,true,2026-09-10 12:13:39.466 -0500,2026-09-10 16:15:24.660 -0500
552,OTC:KDDIF,KDDIF,OTC,common,Communications,,KDDIF,,true,2026-09-10 12:13:39.510 -0500,infinity,true,2026-09-10 12:13:39.510 -0500,2026-09-10 16:15:24.715 -0500
572,OTC:PCRFF,PCRFF,OTC,common,Consumer Durables,,PCRFF,,true,2026-09-10 12:13:39.524 -0500,infinity,true,2026-09-10 12:13:39.524 -0500,2026-09-10 16:15:24.723 -0500
622,NYSE:COHR,COHR,NYSE,common,Electronic Technology,,COHR,,true,2026-09-10 12:13:39.568 -0500,infinity,true,2026-09-10 12:13:39.568 -0500,2026-09-10 16:15:24.826 -0500
633,NASDAQ:NXPI,NXPI,NASDAQ,common,Electronic Technology,,NXPI,,true,2026-09-10 12:13:39.577 -0500,infinity,true,2026-09-10 12:13:39.577 -0500,2026-09-10 16:15:24.832 -0500
684,NYSE:AME,AME,NYSE,common,Producer Manufacturing,,AME,,true,2026-09-10 12:13:39.626 -0500,infinity,true,2026-09-10 12:13:39.626 -0500,2026-09-10 16:15:24.904 -0500
599,NYSE:MET/PF,MET/PF,NYSE,preferred,Finance,,MET/PF,,true,2026-09-10 12:13:39.549 -0500,infinity,true,2026-09-10 12:13:39.549 -0500,2026-09-10 16:15:24.775 -0500
692,NYSE:GRMN,GRMN,NYSE,common,Electronic Technology,,GRMN,,true,2026-09-10 12:13:39.634 -0500,infinity,true,2026-09-10 12:13:39.634 -0500,2026-09-10 16:15:24.922 -0500
728,OTC:SDVKF,SDVKF,OTC,common,Producer Manufacturing,,SDVKF,,true,2026-09-10 12:13:39.659 -0500,infinity,true,2026-09-10 12:13:39.659 -0500,2026-09-10 16:15:24.962 -0500
671,NYSE:PSA/PJ,PSA/PJ,NYSE,preferred,Finance,,PSA/PJ,,true,2026-09-10 12:13:39.612 -0500,infinity,true,2026-09-10 12:13:39.612 -0500,2026-09-10 16:15:24.889 -0500
752,OTC:VWAPY,VWAPY,OTC,"",Consumer Durables,,VWAPY,,true,2026-09-10 12:13:39.680 -0500,infinity,true,2026-09-10 12:13:39.680 -0500,2026-09-10 16:15:24.992 -0500
747,OTC:WMMVF,WMMVF,OTC,common,Retail Trade,,WMMVF,,true,2026-09-10 12:13:39.676 -0500,infinity,true,2026-09-10 12:13:39.676 -0500,2026-09-10 16:15:25.038 -0500
782,OTC:HINKF,HINKF,OTC,common,Consumer Non-Durables,,HINKF,,true,2026-09-10 12:13:39.707 -0500,infinity,true,2026-09-10 12:13:39.707 -0500,2026-09-10 16:15:25.067 -0500
808,OTC:TYHOF,TYHOF,OTC,common,Distribution Services,,TYHOF,,true,2026-09-10 12:13:39.733 -0500,infinity,true,2026-09-10 12:13:39.733 -0500,2026-09-10 16:15:25.083 -0500
821,NASDAQ:MDLN,MDLN,NASDAQ,common,Health Technology,,MDLN,,true,2026-09-10 12:13:39.745 -0500,infinity,true,2026-09-10 12:13:39.745 -0500,2026-09-10 16:15:25.124 -0500
856,OTC:MAHMF,MAHMF,OTC,"",Consumer Durables,,MAHMF,,true,2026-09-10 12:13:39.778 -0500,infinity,true,2026-09-10 12:13:39.778 -0500,2026-09-10 16:15:25.152 -0500
